"x" "Density" "Velocity" "TotalEnergy" "Temperature" "O2" "H2O" "H" "O" "OH" "H2" "HO2" "H2O2" "AR"
0.04405232 0.312746 -441.905 243455.91 2085.54 0.03207045 0.056379396 0.0020367264 0.0098660591 0.0099410643 0.0038372866 5.2735094e-06 5.3252517e-06 0.88585842
0.04413947 0.31985 -432.09 251501.05 2051.38 0.037095694 0.052108856 0.001965305 0.0092014124 0.0093358771 0.004422399 6.1447747e-06 5.8015685e-06 0.88585851
0.04420089 0.324979 -425.27 257346.64 2027.38 0.04194203 0.048043478 0.0018661291 0.0085075654 0.0087587396 0.0050106587 6.9241794e-06 5.8935751e-06 0.88585858
0.04423595 0.327865 -421.527 260650.49 2014.13 0.045244998 0.045294244 0.0017878579 0.0080235612 0.008357293 0.0054203622 7.4237633e-06 5.7849718e-06 0.88585847
0.04425683 0.329545 -419.378 262577.36 2006.5 0.047396597 0.043511153 0.0017333983 0.0077062545 0.008090644 0.0056901637 7.7356787e-06 5.6509559e-06 0.8858584
0.04428055 0.331401 -417.029 264707.99 1998.14 0.049999101 0.04136173 0.001664503 0.0073215846 0.0077619516 0.0060190569 8.0885752e-06 5.4316794e-06 0.88585855
0.04436299 0.337218 -409.835 271413.47 1972.47 0.060091384 0.033092893 0.0013740215 0.0058344176 0.0064209989 0.0073143189 9.3620657e-06 4.1696692e-06 0.88585843
0.04443507 0.341231 -405.015 276059.79 1955.26 0.069474187 0.025482543 0.0010810539 0.0044700192 0.00508223 0.0085383265 1.0333753e-05 2.7580579e-06 0.88585855
0.04450642 0.344131 -401.603 279423.29 1943.11 0.078166535 0.018485318 0.00079668108 0.0032260746 0.0037709163 0.0096834379 1.104317e-05 1.5537068e-06 0.88585844
0.04459191 0.346403 -398.969 282067.8 1933.8 0.086641604 0.011702507 0.00051082389 0.0020320747 0.0024346997 0.01080757 1.1599348e-05 6.5668539e-07 0.88585847
0.0446894 0.347878 -397.278 283785.03 1927.87 0.093224677 0.0064562285 0.00028431946 0.0011170811 0.001362374 0.011684689 1.1949313e-05 2.1580385e-07 0.88585847
0.0448113 0.348769 -396.262 284826.07 1924.34 0.097742758 0.0028653271 0.00012703475 0.0004951824 0.00061078163 0.01228835 1.2036201e-05 5.7293083e-08 0.88585847
0.04494029 0.34916 -395.818 285280.58 1922.8 0.09989132 0.0011613694 5.1796637e-05 0.00020118283 0.00024920502 0.012575726 1.0960684e-05 2.2408814e-08 0.88585842
0.045059275 0.349305 -395.655 285448.8 1922.23 0.10073394 0.00049487102 2.2230333e-05 8.6215942e-05 0.00010686256 0.012688359 9.0912581e-06 1.4164688e-08 0.88585842
0.045197225 0.349368 -395.582 285522.09 1921.98 0.101132 0.00018107615 8.2550062e-06 3.1975167e-05 3.9613356e-05 0.01274153 7.067415e-06 1.0184418e-08 0.88585847
0.045329451 0.349389 -395.559 285546.88 1921.9 0.101277 6.7599178e-05 3.1718352e-06 1.2261587e-05 1.5179264e-05 0.01276077 5.5831345e-06 7.878858e-09 0.88585843
0.045472772 0.349395 -395.552 285555.14 1921.88 0.1013358 2.2155101e-05 1.1115311e-06 4.2739431e-06 5.2854864e-06 0.012768563 4.2918245e-06 5.9219589e-09 0.88585851
