"x" "Density" "Velocity" "TotalEnergy" "Temperature" "O2" "H2O" "H" "O" "OH" "H2" "HO2" "H2O2" "AR"
  0.40694240E+01  0.22753000E+00 -0.60741000E+03  0.15355026E+06  0.25625400E+04  0.17723395E-01  0.72662447E-01  0.11431480E-02  0.68751072E-02  0.13007032E-01  0.27274189E-02  0.22647216E-05  0.70373215E-06  0.88585848E+00
  0.41044380E+01  0.23098900E+00 -0.59831400E+03  0.15687140E+06  0.25418100E+04  0.18050506E-01  0.72065250E-01  0.11884878E-02  0.71043825E-02  0.12979327E-01  0.27505521E-02  0.22990151E-05  0.76989845E-06  0.88585843E+00
  0.41692390E+01  0.23864200E+00 -0.57912600E+03  0.16434759E+06  0.24958600E+04  0.18764461E-01  0.70803178E-01  0.12899359E-02  0.76040843E-02  0.12880266E-01  0.27961681E-02  0.23933218E-05  0.94181270E-06  0.88585857E+00
  0.42164860E+01  0.24566400E+00 -0.56257400E+03  0.17135400E+06  0.24538600E+04  0.19407159E-01  0.69716544E-01  0.13839955E-02  0.80509801E-02  0.12747801E-01  0.28315639E-02  0.25009060E-05  0.11294005E-05  0.88585833E+00
  0.42538420E+01  0.25249400E+00 -0.54735600E+03  0.17828863E+06  0.24133300E+04  0.20021844E-01  0.68721175E-01  0.14760198E-02  0.84726510E-02  0.12585227E-01  0.28605180E-02  0.26234823E-05  0.13448397E-05  0.88585860E+00
  0.42686450E+01  0.25562400E+00 -0.54065400E+03  0.18150476E+06  0.23949100E+04  0.20300858E-01  0.68284311E-01  0.15182712E-02  0.86610269E-02  0.12500729E-01  0.28721599E-02  0.26852448E-05  0.14558824E-05  0.88585850E+00
  0.42764330E+01  0.25738900E+00 -0.53694600E+03  0.18332999E+06  0.23845800E+04  0.20457678E-01  0.68042726E-01  0.15420991E-02  0.87657585E-02  0.12450486E-01  0.28783197E-02  0.27215905E-05  0.15219294E-05  0.88585869E+00
  0.42826420E+01  0.25886200E+00 -0.53389200E+03  0.18485631E+06  0.23759800E+04  0.20588401E-01  0.67844155E-01  0.15619688E-02  0.88522257E-02  0.12407148E-01  0.28832634E-02  0.27526294E-05  0.15689776E-05  0.88585852E+00
  0.43057970E+01  0.26494700E+00 -0.52162900E+03  0.19121526E+06  0.23407600E+04  0.21131410E-01  0.67043631E-01  0.16438494E-02  0.92000343E-02  0.12215388E-01  0.29022813E-02  0.28896177E-05  0.18402543E-05  0.88585868E+00
  0.43265150E+01  0.27138500E+00 -0.50925500E+03  0.19802507E+06  0.23040700E+04  0.21726699E-01  0.66220325E-01  0.17294733E-02  0.95466867E-02  0.11991105E-01  0.29220888E-02  0.30500072E-05  0.21536406E-05  0.88585842E+00
  0.43467100E+01  0.27889100E+00 -0.49554900E+03  0.20606517E+06  0.22621100E+04  0.22504154E-01  0.65241705E-01  0.18260195E-02  0.99085218E-02  0.11702982E-01  0.29520601E-02  0.32640661E-05  0.25835322E-05  0.88585871E+00
  0.43663230E+01  0.28779400E+00 -0.48021800E+03  0.21572764E+06  0.22135800E+04  0.23711224E-01  0.63913639E-01  0.19301067E-02  0.10236888E-01  0.11323899E-01  0.30190367E-02  0.35773968E-05  0.31856215E-05  0.88585844E+00
  0.43813740E+01  0.29610400E+00 -0.46674200E+03  0.22486601E+06  0.21696000E+04  0.25401136E-01  0.62266773E-01  0.20067329E-02  0.10378589E-01  0.10930334E-01  0.31499410E-02  0.39686130E-05  0.38440607E-05  0.88585868E+00
  0.43942540E+01  0.30452000E+00 -0.45384100E+03  0.23421927E+06  0.21263900E+04  0.28066419E-01  0.59856726E-01  0.20489104E-02  0.10278365E-01  0.10477642E-01  0.34042303E-02  0.45196336E-05  0.45914876E-05  0.88585860E+00
  0.44052320E+01  0.31274600E+00 -0.44190500E+03  0.24345591E+06  0.20855400E+04  0.32070450E-01  0.56379396E-01  0.20367264E-02  0.98660591E-02  0.99410643E-02  0.38372866E-02  0.52735094E-05  0.53252517E-05  0.88585842E+00
  0.44139470E+01  0.31985000E+00 -0.43209000E+03  0.25150105E+06  0.20513800E+04  0.37095694E-01  0.52108856E-01  0.19653050E-02  0.92014124E-02  0.93358771E-02  0.44223990E-02  0.61447747E-05  0.58015685E-05  0.88585851E+00
  0.44200890E+01  0.32497900E+00 -0.42527000E+03  0.25734664E+06  0.20273800E+04  0.41942030E-01  0.48043478E-01  0.18661291E-02  0.85075654E-02  0.87587396E-02  0.50106587E-02  0.69241794E-05  0.58935751E-05  0.88585858E+00
  0.44235950E+01  0.32786500E+00 -0.42152700E+03  0.26065049E+06  0.20141300E+04  0.45244998E-01  0.45294244E-01  0.17878579E-02  0.80235612E-02  0.83572930E-02  0.54203622E-02  0.74237633E-05  0.57849718E-05  0.88585847E+00
  0.44256830E+01  0.32954500E+00 -0.41937800E+03  0.26257736E+06  0.20065000E+04  0.47396597E-01  0.43511153E-01  0.17333983E-02  0.77062545E-02  0.80906440E-02  0.56901637E-02  0.77356787E-05  0.56509559E-05  0.88585840E+00
  0.44280550E+01  0.33140100E+00 -0.41702900E+03  0.26470799E+06  0.19981400E+04  0.49999101E-01  0.41361730E-01  0.16645030E-02  0.73215846E-02  0.77619516E-02  0.60190569E-02  0.80885752E-05  0.54316794E-05  0.88585855E+00
  0.44362990E+01  0.33721800E+00 -0.40983500E+03  0.27141347E+06  0.19724700E+04  0.60091384E-01  0.33092893E-01  0.13740215E-02  0.58344176E-02  0.64209989E-02  0.73143189E-02  0.93620657E-05  0.41696692E-05  0.88585843E+00
  0.44435070E+01  0.34123100E+00 -0.40501500E+03  0.27605979E+06  0.19552600E+04  0.69474187E-01  0.25482543E-01  0.10810539E-02  0.44700192E-02  0.50822300E-02  0.85383265E-02  0.10333753E-04  0.27580579E-05  0.88585855E+00
  0.44506420E+01  0.34413100E+00 -0.40160300E+03  0.27942329E+06  0.19431100E+04  0.78166535E-01  0.18485318E-01  0.79668108E-03  0.32260746E-02  0.37709163E-02  0.96834379E-02  0.11043170E-04  0.15537068E-05  0.88585844E+00
  0.44591910E+01  0.34640300E+00 -0.39896900E+03  0.28206780E+06  0.19338000E+04  0.86641604E-01  0.11702507E-01  0.51082389E-03  0.20320747E-02  0.24346997E-02  0.10807570E-01  0.11599348E-04  0.65668539E-06  0.88585847E+00
  0.44689400E+01  0.34787800E+00 -0.39727800E+03  0.28378503E+06  0.19278700E+04  0.93224677E-01  0.64562285E-02  0.28431946E-03  0.11170811E-02  0.13623740E-02  0.11684689E-01  0.11949313E-04  0.21580385E-06  0.88585847E+00
  0.44811300E+01  0.34876900E+00 -0.39626200E+03  0.28482607E+06  0.19243400E+04  0.97742758E-01  0.28653271E-02  0.12703475E-03  0.49518240E-03  0.61078163E-03  0.12288350E-01  0.12036201E-04  0.57293083E-07  0.88585847E+00
  0.44940290E+01  0.34916000E+00 -0.39581800E+03  0.28528058E+06  0.19228000E+04  0.99891320E-01  0.11613694E-02  0.51796637E-04  0.20118283E-03  0.24920502E-03  0.12575726E-01  0.10960684E-04  0.22408814E-07  0.88585842E+00
  0.45059275E+01  0.34930500E+00 -0.39565500E+03  0.28544880E+06  0.19222300E+04  0.10073394E+00  0.49487102E-03  0.22230333E-04  0.86215942E-04  0.10686256E-03  0.12688359E-01  0.90912581E-05  0.14164688E-07  0.88585842E+00
  0.45197225E+01  0.34936800E+00 -0.39558200E+03  0.28552209E+06  0.19219800E+04  0.10113200E+00  0.18107615E-03  0.82550062E-05  0.31975167E-04  0.39613356E-04  0.12741530E-01  0.70674150E-05  0.10184418E-07  0.88585847E+00
  0.45329451E+01  0.34938900E+00 -0.39555900E+03  0.28554688E+06  0.19219000E+04  0.10127700E+00  0.67599178E-04  0.31718352E-05  0.12261587E-04  0.15179264E-04  0.12760770E-01  0.55831345E-05  0.78788580E-08  0.88585843E+00
  0.45472772E+01  0.34939500E+00 -0.39555200E+03  0.28555514E+06  0.19218800E+04  0.10133580E+00  0.22155101E-04  0.11115311E-05  0.42739431E-05  0.52854864E-05  0.12768563E-01  0.42918245E-05  0.59219589E-08  0.88585851E+00
